date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
24 mars 2018 Saison régulière,Chicago Bulls,,,Milwaukee Bucks,,
24 mars 2018 Saison régulière,Oklahoma City Thunder,,,Miami Heat,,
24 mars 2018 Saison régulière,San Antonio Spurs,,,Utah Jazz,,
24 mars 2018 Saison régulière,Portland Trail Blazers,,,Boston Celtics,,
24 mars 2018 Saison régulière,Golden State Warriors,,,Atlanta Hawks,,
24 mars 2018 Saison régulière,Philadelphia 76ers,,,Minnesota Timberwolves,,
23 mars 2018 Saison régulière,Orlando Magic,,,Philadelphia 76ers,,
23 mars 2018 Saison régulière,Charlotte Hornets,,,Memphis Grizzlies,,
23 mars 2018 Saison régulière,New Orleans Pelicans,,,LA Lakers,,
23 mars 2018 Saison régulière,Houston Rockets,,,Detroit Pistons,,
23 mars 2018 Saison régulière,Dallas Mavericks,,,Utah Jazz,,
23 mars 2018 Saison régulière,Sacramento Kings,,,Atlanta Hawks,,
25 mars 2018 Saison régulière,Detroit Pistons,,,Chicago Bulls,,
25 mars 2018 Saison régulière,Orlando Magic,,,Phoenix Suns,,
25 mars 2018 Saison régulière,Houston Rockets,,,New Orleans Pelicans,,
25 mars 2018 Saison régulière,Memphis Grizzlies,,,LA Lakers,,
25 mars 2018 Saison régulière,Dallas Mavericks,,,Charlotte Hornets,,
25 mars 2018 Saison régulière,Brooklyn Nets,,,Cleveland Cavaliers,,
25 mars 2018 Saison régulière,Milwaukee Bucks,,,San Antonio Spurs,,
25 mars 2018 Saison régulière,Indiana Pacers,,,Miami Heat,,
22 mars 2018 Saison régulière,Cleveland Cavaliers,,,Toronto Raptors,,
22 mars 2018 Saison régulière,Philadelphia 76ers,,,Memphis Grizzlies,,
22 mars 2018 Saison régulière,Miami Heat,,,New York Knicks,,
22 mars 2018 Saison régulière,Brooklyn Nets,,,Charlotte Hornets,,
22 mars 2018 Saison régulière,Chicago Bulls,,,Denver Nuggets,,
22 mars 2018 Saison régulière,Milwaukee Bucks,,,LA Clippers,,
22 mars 2018 Saison régulière,San Antonio Spurs,,,Washington Wizards,,
21 mars 2018 Saison régulière,Orlando Magic,,,Toronto Raptors,,
21 mars 2018 Saison régulière,New Orleans Pelicans,,,Dallas Mavericks,,
21 mars 2018 Saison régulière,Boston Celtics,,,Oklahoma City Thunder,,
21 mars 2018 Saison régulière,Minnesota Timberwolves,,,LA Clippers,,
21 mars 2018 Saison régulière,Utah Jazz,,,Atlanta Hawks,,
